public_identifier,starts_at_day,starts_at_month,starts_at_year,ends_at_day,ends_at_month,ends_at_year,field_of_study,degree_name,school,school_linkedin_profile_url,description,logo_url,grade,activities_and_societies
"gopal-raj-suresh-d","1","7","2017","31","7","2021","Mechanical Engineering","Bachelor of Technology - BTech","MVGR College of Engineering","https://www.linkedin.com/company/6924734/",,,"3.5/4",
"harshal29","1","8","2023","31","5","2025","Information Technology and Management","Master's degree","Illinois Institute of Technology","https://www.linkedin.com/company/6328/",,"https://media.licdn.com/dms/image/C4D0BAQEd6wnmQCCIHw/company-logo_400_400/0/1630559679535/illinois_institute_of_technology_logo?e=1707955200&v=beta&t=b56ljNA2mpQ6Kfxsl034Sk9sPO67KxhtehtM9QyhD_g",,
"harshal29","1","1","2018","31","12","2021","Mechanical Engineering","Bachelor of Engineering - BE","Savitribai Phule Pune University","https://www.linkedin.com/company/15094398/",,"https://media.licdn.com/dms/image/C4E0BAQEFsIyAZyuMwA/company-logo_400_400/0/1631345386058?e=1707955200&v=beta&t=Is98fOVt8Rq6lsdmpswfoEBI9xFy3PK8nVVKM8SHB74",,
,,,,,,,,,,,,,,
"interlee","1","1","2016","31","12","2020",,,"Illinois Institute of Technology",,,"https://media-exp1.licdn.com/dms/image/C4D0BAQEd6wnmQCCIHw/company-logo_100_100/0/1556827665561?e=2147483647&v=beta&t=w7RjDnBJwhzn6xLDq1aRK7KsSW8MH3LbkR4g_LZvitQ",,
"interlee","1","1","2005","31","12","2009","Computer Information Systems","MS","Northwestern University",,,"https://media-exp1.licdn.com/dms/image/C4E0BAQH-sXOOSUF3aA/company-logo_100_100/0/1519856314413?e=2147483647&v=beta&t=MQxdYXh7z4diiFeVS3v1vqq3L46ohl_WjsmNmH4MOcg",,
"interlee","1","1","1989","31","12","1997","Library and Information Science","Master of Science (MS)","Yonsei University",,,"https://media-exp1.licdn.com/dms/image/C560BAQFETCFzsdANRg/company-logo_100_100/0/1519862402482?e=2147483647&v=beta&t=vwXI-Vv7ibJsk2WiKC2iTTVjg4m8TEmJTgNVhgg2ecQ",,
"ishanprabhune","1","8","2023",,,,"Information Technology and Management","Master's degree","Illinois Institute of Technology",,,"https://media.licdn.com/dms/image/C4D0BAQEd6wnmQCCIHw/company-logo_400_400/0/1630559679535/illinois_institute_of_technology_logo?e=1707955200&v=beta&t=b56ljNA2mpQ6Kfxsl034Sk9sPO67KxhtehtM9QyhD_g",,
"ishanprabhune","1","8","2018","31","7","2021",,"Bachelor of Engineering - BE Mechanical ","Savitribai Phule Pune University",,,"https://media.licdn.com/dms/image/C4E0BAQEFsIyAZyuMwA/company-logo_400_400/0/1631345386058?e=1707955200&v=beta&t=Is98fOVt8Rq6lsdmpswfoEBI9xFy3PK8nVVKM8SHB74",,
"ishanprabhune","1","7","2015","30","6","2018","Mechanical Engineering","Diploma of Education","Maharashtra State Board of Technical Education, Mumbai",,,,,
"ishanprabhune",,,,,,,,"10th Grade","Central Board of Secondary Education",,,"https://media.licdn.com/dms/image/C4D0BAQHq29ObkBlk_A/company-logo_400_400/0/1631336209533?e=1707955200&v=beta&t=FuBGgIivOuwXQYxH4BejRn-5o_oDa2O8NjcM_mSMa98",,
"jakka-gunith","1","1","2023",,,,"Computer Science","Master's degree","Illinois Institute of Technology",,,"https://media.licdn.com/dms/image/C4D0BAQEd6wnmQCCIHw/company-logo_400_400/0/1556827665561/illinois_institute_of_technology_logo?e=1707350400&v=beta&t=IE5e2vI5GCa0mAR5UL0zyzyWIWAFFp52y3AQSoMLb8A",,
"jakka-gunith","1","1","2017","31","5","2021","Computer Science","Bachelor of Technology","Keshav memorial college of engineering",,,,,
"jamiedimon","1","1","1982",,,,,"Master of Business Administration (MBA)","Harvard Business School","https://www.linkedin.com/company/4867/",,"https://media.licdn.com/dms/image/C4D0BAQF_DkXTlZVo1w/company-logo_400_400/0/1639781479259/harvard_business_school_logo?e=1716422400&v=beta&t=eOcOSWTkIzd86Uep8mM5E6D87eRJ7GrXqHk-vt3dd-M",,
"jamiedimon","1","1","1978",,,,,"Bachelor of Arts (B.A.)","Tufts University","https://www.linkedin.com/company/157341/",,"https://media.licdn.com/dms/image/C4E0BAQH_656Vr-3pxA/company-logo_400_400/0/1631326600842?e=1716422400&v=beta&t=ZNlZN2WAUOV-SE3ZZW5MkXY8HpLI6etLJOGoLMiEo8A",,
"javier-moreno-frutos","1","1","2022","31","12","2024","Máster Universitario en Ingeniería de Telecomunicación","Máster","Universidad Politécnica de Madrid","https://es.linkedin.com/school/universidad-politecnica-de-madrid/",,"https://media.licdn.com/dms/image/C4E0BAQGFLi28bctGCw/company-logo_100_100/0/1653563613506?e=2147483647&v=beta&t=CvOoD10Jf3_fACJbXjfGJo70RJVdzAqL5LInHUtAQ2I",,
"javier-moreno-frutos","1","1","2018","31","12","2022","Ingeniería de telecomunicaciones","Grado","Universidad Politécnica de Madrid","https://es.linkedin.com/school/universidad-politecnica-de-madrid/",,"https://media.licdn.com/dms/image/C4E0BAQGFLi28bctGCw/company-logo_100_100/0/1653563613506?e=2147483647&v=beta&t=CvOoD10Jf3_fACJbXjfGJo70RJVdzAqL5LInHUtAQ2I",,
"javier-moreno-frutos","1","1","2003","31","12","2018","Ciencia","Bachillerato","Colegio Bienaventurada Virgen Maria (Irlandesas)",,,,,
"joel-miranda-4159801a1","1","1","2023","31","12","2024","Information Technology and Management","Master of Science - MS","Illinois Institute of Technology","https://www.linkedin.com/company/6328/",,"https://media.licdn.com/dms/image/C4D0BAQEd6wnmQCCIHw/company-logo_400_400/0/1630559679535/illinois_institute_of_technology_logo?e=1717632000&v=beta&t=9_wR1v9lt8WVPSux8a585YLwqzmyIqxwEYp0mHeXRL0",,
"joel-miranda-4159801a1","1","1","2016","31","12","2020","Computer Science","Bachelor of Engineering - BE","St Joseph Engineering College, Mangaluru","https://www.linkedin.com/company/14586063/",,"https://media.licdn.com/dms/image/C510BAQHUrhaaz7wHRg/company-logo_400_400/0/1630580910897?e=1717632000&v=beta&t=tbf693U6d8g77lw5_CzkVR7_ADBghGj6pvrdVu8R9Wo",,
"mauricedawson","1","1","2016","1","1","2017","Hyper-connectivity: Intricacies of national and international cyber securities","Doctor of Philosophy - PhD","London Metropolitan University",,,"https://media.licdn.com/dms/image/C4D0BAQFlF6HLsmM7IA/company-logo_400_400/0/1625149732089?e=1692230400&v=beta&t=zp1-xxE5G5Xq0pbf4CVAi3MorBcg8A2ziGbwNqdxHpU",,
"mauricedawson","1","1","2020","1","1","2021","Information Systems and Technology (Cyber Warfare)","Postdoctoral","Universidade Fernando Pessoa",,,"https://media.licdn.com/dms/image/C4D0BAQGIv8acZxjZJA/company-logo_400_400/0/1544114789543?e=1692230400&v=beta&t=poIfXCFhhSMYfSYZrdpDgqnc2deV4sFaHkarFLnQWzI",,
"mauricedawson","1","1","2006","1","1","2009","Computer Science","Doctor's Degree","Colorado Technical University",,,"https://media.licdn.com/dms/image/C510BAQFmIfDn2MA1FQ/company-logo_400_400/0/1519856083211?e=1692230400&v=beta&t=hdABUA3thBeCZ_gcnRXGP0GB6DGdxKlBCBMZ_5osDE0",,
"mauricedawson","1","3","2023","1","3","2023","Operational Level Energy Security","Certificate","Baltic Defence College",,,,,
"mauricedawson","1","1","2022","1","1","2022","Cyber Defence Policy on National and International Levels","Certificate","European Security and Defence College (ESDC)",,,"https://media.licdn.com/dms/image/C560BAQG6wuEGCfWmDQ/company-logo_400_400/0/1521469941630?e=1692230400&v=beta&t=DMUrNEWXfL2FFuq5bxCZrFM8t2H4mZRaf9ciIe8WKFY",,
"mauricedawson","1","1","2012","1","1","2012","Public Policy Analysis","Graduate Certificate","Walden University",,,"https://media.licdn.com/dms/image/C560BAQGyt-7PZa36Vg/company-logo_400_400/0/1657051915402?e=1692230400&v=beta&t=8kDGeTPmPfzqmlpUVKgjdWVNs9KgTnyRO-LPkfB3VVc",,
"mauricedawson","1","1","2010","1","1","2010","Business Administration and Management, General","Master of Business Administration - MBA","Colorado Technical University",,,"https://media.licdn.com/dms/image/C510BAQFmIfDn2MA1FQ/company-logo_400_400/0/1519856083211?e=1692230400&v=beta&t=hdABUA3thBeCZ_gcnRXGP0GB6DGdxKlBCBMZ_5osDE0",,
"mauricedawson","1","1","2007","1","1","2007","Fundamentals of Systems Planning, Research, Development, and Engineering","Certificate","Defense Acquisition University",,,"https://media.licdn.com/dms/image/C560BAQFfjVE3-ZH5HQ/company-logo_400_400/0/1603069221656?e=1692230400&v=beta&t=oyRERg6O827anp_-TpDnUNljNJYDAZbM5djKNu0X7eI",,
"mauricedawson","1","1","2007","1","1","2007","Fundamentals of Systems Acquisition Management ","Certificate","Defense Acquisition University",,,"https://media.licdn.com/dms/image/C560BAQFfjVE3-ZH5HQ/company-logo_400_400/0/1603069221656?e=1692230400&v=beta&t=oyRERg6O827anp_-TpDnUNljNJYDAZbM5djKNu0X7eI",,
"mauricedawson","1","1","2005","1","1","2006","Management in Information Systems Security","Master of Science - MS","Colorado Technical University",,,"https://media.licdn.com/dms/image/C510BAQFmIfDn2MA1FQ/company-logo_400_400/0/1519856083211?e=1692230400&v=beta&t=hdABUA3thBeCZ_gcnRXGP0GB6DGdxKlBCBMZ_5osDE0",,
"mauricedawson","1","1","2001","1","1","2004","Applied Technology","Bachelor of Science - BS","Athens State University",,,"https://media.licdn.com/dms/image/C4D0BAQG4MPHBWWmTEQ/company-logo_400_400/0/1614976846943?e=1692230400&v=beta&t=8h4q5Zh3kQqA22sYxxK5gjAVDYHFHdNTcvzmfizzRJg",,
"mauricedawson","1","1","2001","1","1","2001","Information Systems Operator Analyst","Diploma","United States Army Signal School",,,,,
"morgan-richards-4a3353207","1","1","2019","31","12","2024","EECS","Bachelor's degree","University of California, Berkeley","https://www.linkedin.com/company/uc-berkeley","Took time off during COVID","https://media.licdn.com/dms/image/C4D0BAQGF8uB7vUoJ0Q/company-logo_400_400/0/1639585477530/uc_berkeley_logo?e=1717632000&v=beta&t=Y-LMdrWZf1egrtPDKILtOYLJzBmZRYXY5LpAh0ZcR4I",,
"narendramodi",,,,,,,"Political Science and Government","Political Science","Gujarat University","https://www.linkedin.com/company/3950092/",,"https://media.licdn.com/dms/image/C4D0BAQFO-BHBuDhZKw/company-logo_400_400/0/1669369004091?e=1710979200&v=beta&t=HeCn0x-aH8limBlPWq-A3hPUjX_R8xzQwgTE35qOSr0",,
"nidhi-patni-jain","1","1","2023","31","5","2024","Information Technology and Management","Masters","Illinois Institute of Technology",,,"https://media.licdn.com/dms/image/C4D0BAQEd6wnmQCCIHw/company-logo_400_400/0/1630559679535/illinois_institute_of_technology_logo?e=1713398400&v=beta&t=LQzca7ZA1oLtUFZxYfPE0vraYJxuXZAF7JgFkG_c_h0",,
"nidhi-patni-jain","1","7","2013","31","7","2017","Information Technology","Bachelor of Engineering","Pune Institute of Computer Technology",,,"https://media.licdn.com/dms/image/C560BAQFMx5qjAC9X-w/company-logo_400_400/0/1661593836468/pune_institute_of_computer_technology_logo?e=1713398400&v=beta&t=WCZ_5nahiq9xonEV-p026gsSlDQrSilMwenzDA3O8Og",,
"nidhi-patni-jain","1","6","2011","30","6","2013","Science","HSC","Shri Radhakisan Lakshminarayan Toshniwal Science College, Akola.",,,"https://media.licdn.com/dms/image/C4D0BAQE71KHPfTaHxQ/company-logo_400_400/0/1669475870382/shri_radhakisan_lakshminarayan_toshniwal_science_college_akola_logo?e=1713398400&v=beta&t=WSik_pg5EuOjCj5kKQdWSbXPNGzB8LxbmvlEidoCCyE",,
"p-s-r-c","1","1","2023",,,,"Data Analytics, Information Technology and Management","Master's degree","Illinois Institute of Technology","https://www.linkedin.com/company/6328/","Skills: HTML · MySQL · Databases · ERD · Oracle SQL · Hypothesis Testing · Cascading Style Sheets (CSS) · Microsoft Power BI · Python (Programming Language) · Extract, Transform, Load (ETL) · Design Thinking · Machine Learning · Data Cleaning · Google Sheets · Project Management · Information ","https://media.licdn.com/dms/image/C4D0BAQEd6wnmQCCIHw/company-logo_400_400/0/1630559679535/illinois_institute_of_technology_logo?e=1717632000&v=beta&t=9_wR1v9lt8WVPSux8a585YLwqzmyIqxwEYp0mHeXRL0","3.5",
"p-s-r-c","1","6","2018","30","9","2022","Electrical, Electronics and Communications Engineering","Bachelor of Technology - BTech","Vishnu Institute of Technology (Autonomous) ","https://www.linkedin.com/company/15127587/","Affiliated to Jawaharlal Nehru Technological University, Kakinada.

Excelled in:
C (Programming Language)
Data Structures
Object-Oriented Programming through JAVA
Electromagnetic Fields and Transmission Lines
Stochastic Processes
Computer Architecture and Organization
Satellite Communications
Cellular Mobile Communications","https://media.licdn.com/dms/image/C560BAQEdujoy3UR98A/company-logo_400_400/0/1630657523088/vishnu_institute_of_technology_vishnupur_bhimavaram_pin_534202_cc_pa__logo?e=1717632000&v=beta&t=L_tidgSO0HKxJxBnUXvo6rSCtuzK-fvzF80beRS3ghE","First Class",
"p-s-r-c","1","6","2016","30","4","2018","Pre-Engineering","Intermediate","Sri Chaitanya Junior College, Eluru",,"Majors:
Mathematics
Physics
Chemistry",,"961/1000",
"p-s-r-c","1","6","2008","30","4","2016",,"High School","Sir C.R.Reddy Public School, Eluru",,,,,
"phalgunkollepara","1","8","2023","31","8","2025","Business analytics","Master of Business Administration - MBA","Illinois Institute of Technology","https://www.linkedin.com/company/6328/",,"https://media.licdn.com/dms/image/C4D0BAQEd6wnmQCCIHw/company-logo_400_400/0/1630559679535/illinois_institute_of_technology_logo?e=1717632000&v=beta&t=9_wR1v9lt8WVPSux8a585YLwqzmyIqxwEYp0mHeXRL0",,
"phalgunkollepara","1","1","2017","31","12","2021","Electronics and Communications Engineering","Bachelor's degree","SRM University","https://www.linkedin.com/company/879960/",,"https://media.licdn.com/dms/image/C510BAQHO4Qj_rvGxUA/company-logo_400_400/0/1630600315247?e=1717632000&v=beta&t=ukNaKZGVAezpcWdIQVIKD1aLVGE2eq9s4rCJ0mpoSKo",,
"phalgunkollepara","1","1","2015","31","12","2017",,,"Sri Chaitanya College of Education","https://www.linkedin.com/company/15102548/",,"https://media.licdn.com/dms/image/C4E0BAQFGcnCCVep9bw/company-logo_400_400-alternative/0/1630620788881/sri_chaitanya_college_of_education_logo?e=1717632000&v=beta&t=IsHfIaWk5oD-fdGg7aO0u2xz4GMYe-kWLXtvJYy-m5A",,
"phalgunkollepara",,,,,,,,,"Bhashyam (E.M) High School",,,,,
"preetham-voleti-45836619b","1","8","2023","31","8","2025","Information Technology","Master of Science - MS","Illinois Institute of Technology",,,"https://media.licdn.com/dms/image/C4D0BAQEd6wnmQCCIHw/company-logo_400_400/0/1630559679535/illinois_institute_of_technology_logo?e=1717632000&v=beta&t=9_wR1v9lt8WVPSux8a585YLwqzmyIqxwEYp0mHeXRL0",,
"preetham-voleti-45836619b","1","1","2017","31","1","2021","Electrical, Electronics and Communications Engineering","Bachelor of Technology - BTech","SRM University",,,"https://media.licdn.com/dms/image/C510BAQHO4Qj_rvGxUA/company-logo_400_400/0/1630600315247?e=1717632000&v=beta&t=ukNaKZGVAezpcWdIQVIKD1aLVGE2eq9s4rCJ0mpoSKo",,
"rajcharan-haridasu-3993a2216","1","8","2023","31","7","2025","Information Technology and Management","Master's degree","Illinois Institute of Technology","https://www.linkedin.com/company/6328/",,"https://media.licdn.com/dms/image/C4D0BAQEd6wnmQCCIHw/company-logo_400_400/0/1630559679535/illinois_institute_of_technology_logo?e=1717632000&v=beta&t=9_wR1v9lt8WVPSux8a585YLwqzmyIqxwEYp0mHeXRL0",,
"rajcharan-haridasu-3993a2216","1","1","2017","31","12","2021","Electronics and communication Engineering","Bachelor of Technology - BTech","SRM University","https://www.linkedin.com/company/879960/",,"https://media.licdn.com/dms/image/C510BAQHO4Qj_rvGxUA/company-logo_400_400/0/1630600315247?e=1717632000&v=beta&t=ukNaKZGVAezpcWdIQVIKD1aLVGE2eq9s4rCJ0mpoSKo",,
"rajcharan-haridasu-3993a2216","1","7","2015","31","7","2017","MPC","Intermediate","Sri Chaitanya College of Education","https://www.linkedin.com/company/15102548/",,"https://media.licdn.com/dms/image/C4E0BAQFGcnCCVep9bw/company-logo_400_400-alternative/0/1630620788881/sri_chaitanya_college_of_education_logo?e=1717632000&v=beta&t=IsHfIaWk5oD-fdGg7aO0u2xz4GMYe-kWLXtvJYy-m5A",,
"rajcharan-haridasu-3993a2216","1","7","2004","31","7","2015","ICSE","10th","St.Ann’s",,,,,
"rajeshgopinathan","1","1","1994","31","1","1996",,"PGDM","Indian Institute of Management Ahmedabad",,,"https://media.licdn.com/dms/image/D4D0BAQEM7igMMa_i9w/company-logo_400_400/0/1667468152053/iimahmedabad_logo?e=1713398400&v=beta&t=jkpGpXOP0u3b_FguhnO3lVzTEye_p46LArodcbLTTSs",,
"rajeshgopinathan","1","1","1990","31","1","1994","Electrical and Electronics Engineering","Bachelor of Engineering - BE","National Institute of Technology, Tiruchirappalli",,,"https://media.licdn.com/dms/image/D560BAQFryFNz3kWsbg/company-logo_400_400/0/1692791348408/nittrichy_logo?e=1713398400&v=beta&t=aZxzIDTRowmPOeaUQ__epwv9rjJD2eVZCujz12Mal5c",,
"rdedhia1","1","8","2023","31","8","2025","Information Technology and Management","Master's degree","Illinois Institute of Technology","https://www.linkedin.com/company/6328/","ITMD_514 Programming for Data Analytics 
ITMD_523 Adv. Topics in Data Management 
ITMS_528 Database Security","https://media.licdn.com/dms/image/C4D0BAQEd6wnmQCCIHw/company-logo_400_400/0/1630559679535/illinois_institute_of_technology_logo?e=1717632000&v=beta&t=9_wR1v9lt8WVPSux8a585YLwqzmyIqxwEYp0mHeXRL0",,
"rdedhia1","1","7","2019","30","4","2022","Information Technology","Bachelor of Science - BS","University of Mumbai","https://www.linkedin.com/company/15093732/",,"https://media.licdn.com/dms/image/C4E0BAQGsu_DimiqUow/company-logo_400_400/0/1631357817785?e=1717632000&v=beta&t=3Vx6bk_4t8Ew4ZZE3U7SR5yJEHUyqMNTCcwPBLha7CI","8.7 CGPA",
"reidhoffman","1","1","2020","31","1","2020","Faculty of Information Technology and Electrical Engineering","Honorary Doctor","University of Oulu",,,"https://media.licdn.com/dms/image/D4E0BAQHu0BWtQX586A/company-logo_400_400/0/1691396242467/university_of_oulu_logo?e=1717027200&v=beta&t=KyQhWDh9eOfI-EAQE1pvSvemm0_reE7RY58LhYRVC7Y",,
"reidhoffman","1","1","2012","31","1","2012","Entrepreneurship/Entrepreneurial Studies","Honorary Doctor of Laws","Babson College",,,"https://media.licdn.com/dms/image/C4E0BAQG9uoVqHj4dSg/company-logo_400_400/0/1630613547672/babson_college_logo?e=1717027200&v=beta&t=nSV1V883LLyacVZEpwj9iX5-rIy1ROCdRL5NB3fGo7Q",,
"reidhoffman","1","9","1990","30","6","1993","Philosophy","M.St.","University of Oxford",,,"https://media.licdn.com/dms/image/C560BAQGwPZs3spXFqw/company-logo_400_400/0/1630592784438/university_of_oxford_logo?e=1717027200&v=beta&t=sN3aglhl8dybYeptPzKtDmDxOIKJcbqbqGCQtbUSkzg",,
"reidhoffman","1","1","1985","31","1","1990","Symbolic Systems","B.S.","Stanford University",,,"https://media.licdn.com/dms/image/C560BAQHr9suxyJBXMw/company-logo_400_400/0/1635534378870/stanford_university_logo?e=1717027200&v=beta&t=MKoD1VVzYmpYpdULiz17bb-X421Q8_DaNrUYhOuo-ic",,
"reidhoffman","1","1","1982","31","1","1985","Highschool","Diploma","The Putney School",,,,,
"renuka-suresh-adigesula","1","8","2017","31","1","2021","Computer Science","Bachelor of Engineering - BE","City Engineering College",,,"https://media.licdn.com/dms/image/C560BAQEBnHGtTBXYhw/company-logo_400_400/0/1630639036524?e=1717632000&v=beta&t=4Dcub6tENmHE1UD_cr26xznV-8MZOdljxEqIh9uvOoY",,
"renuka-suresh-adigesula","1","8","2023",,,,"Information Technology and Management","Master's degree","Illinois Institute of Technology",,,"https://media.licdn.com/dms/image/C4D0BAQEd6wnmQCCIHw/company-logo_400_400/0/1630559679535/illinois_institute_of_technology_logo?e=1717632000&v=beta&t=9_wR1v9lt8WVPSux8a585YLwqzmyIqxwEYp0mHeXRL0",,
"roygori",,,,,,,,"Economics and Finance","UNSW",,,"https://media.licdn.com/dms/image/D560BAQFqOpEPsH5vsQ/company-logo_400_400/0/1708045452262/unsw_logo?e=1716422400&v=beta&t=fs6yMWy8e-JNUl_-50NCwphOlrau-w0h83-pjzboSrg",,
"roygori",,,,,,,"Marketing","Master of Business Administration (MBA)","University of Technology Sydney",,,"https://media.licdn.com/dms/image/C560BAQHW5Zk21s3IBA/company-logo_400_400/0/1631330781753?e=1716422400&v=beta&t=FfgNUEUalG2-hjEimGSo7kRqv4Jrdn5HPfaeU6F04uo",,
"satyanadella","1","1","1994","31","12","1996",,,"The University of Chicago Booth School of Business","https://www.linkedin.com/company/8398/",,"https://media.licdn.com/dms/image/D560BAQFZO05jhYKSkw/company-logo_400_400/0/1692627816910/universityofchicagoboothschoolofbusiness_logo?e=1716422400&v=beta&t=xT_t1xTLXuohV7XqK2QrHlEir3gxFVhQH0HOmUnhOGU",,
"satyanadella",,,,,,,"Electrical Engineering","Bachelor’s Degree","Manipal Institute of Technology","https://www.linkedin.com/company/577550/",,"https://media.licdn.com/dms/image/C510BAQH66KkTTZFJ2A/company-logo_400_400/0/1630615963889/manipal_institute_of_technology_logo?e=1716422400&v=beta&t=bkT1hiRtUY8zsDouYS3z-amqYjRi4ZoNDuzAYe5j0zA",,
"satyanadella",,,,,,,"Computer Science","Master’s Degree","University of Wisconsin-Milwaukee","https://www.linkedin.com/company/166690/",,"https://media.licdn.com/dms/image/C560BAQEpdVgxPT90bg/company-logo_400_400/0/1631305960953?e=1716422400&v=beta&t=IQMHi8LAWHSP46J54VV0zxQCjXZZWCncv1g3XEA2mmo",,
"shwetha-muralitharan","1","8","2022","31","5","2024","Information Technology and Management ","Master's degree","Illinois Institute of Technology","https://www.linkedin.com/company/6328/",,"https://media.licdn.com/dms/image/C4D0BAQEd6wnmQCCIHw/company-logo_400_400/0/1630559679535/illinois_institute_of_technology_logo?e=1717632000&v=beta&t=9_wR1v9lt8WVPSux8a585YLwqzmyIqxwEYp0mHeXRL0",,
"shwetha-muralitharan","1","1","2017","31","12","2022","Software systems","Master of Science","Sri Krishna Arts and Science College",,,,,
"sowjanya-msl-593000179","1","1","2023",,,,"Information Technology and Management","Master's degree","Illinois Institute of Technology","https://www.linkedin.com/company/6328/",,"https://media.licdn.com/dms/image/C4D0BAQEd6wnmQCCIHw/company-logo_400_400/0/1630559679535/illinois_institute_of_technology_logo?e=1717632000&v=beta&t=9_wR1v9lt8WVPSux8a585YLwqzmyIqxwEYp0mHeXRL0",,
"sowjanya-msl-593000179","1","1","2016","31","12","2020","Cse","Btech","Gayatri Vidya Parishad College of Engineering (Autonomous)","https://www.linkedin.com/company/18855773/",,"https://media.licdn.com/dms/image/C560BAQFkEC0pY-USUQ/company-logo_400_400/0/1630619632206/gvpcoe_logo?e=1717632000&v=beta&t=4Rp-laEoh-OgN8fB1iGXfVtP_MQkASzyiAE3E9PTejk",,
"sukanya-marati","1","1","2023",,,,"Information Technology","Master's degree","Illinois Institute of Technology","https://www.linkedin.com/company/6328/",,"https://media.licdn.com/dms/image/C4D0BAQEd6wnmQCCIHw/company-logo_400_400/0/1630559679535/illinois_institute_of_technology_logo?e=1717632000&v=beta&t=9_wR1v9lt8WVPSux8a585YLwqzmyIqxwEYp0mHeXRL0","3.8/4",
"surya-merala","1","1","2023","31","12","2024","Information technology and management ","Master of Science - MS","Illinois Institute of Technology",,,"https://media.licdn.com/dms/image/C4D0BAQEd6wnmQCCIHw/company-logo_400_400/0/1630559679535/illinois_institute_of_technology_logo?e=1717632000&v=beta&t=9_wR1v9lt8WVPSux8a585YLwqzmyIqxwEYp0mHeXRL0",,
"surya-merala","1","8","2016","31","8","2020","Electronics and Communication ","Bachelor of Engineering - BE","K S Institute of Technology, BANGALORE",,,,,
"varshcs","1","12","2022","31","5","2025","Information Technology","Master's degree","Illinois Institute of Technology","https://www.linkedin.com/company/6328/",,"https://media.licdn.com/dms/image/C4D0BAQEd6wnmQCCIHw/company-logo_400_400/0/1630559679535/illinois_institute_of_technology_logo?e=1717632000&v=beta&t=9_wR1v9lt8WVPSux8a585YLwqzmyIqxwEYp0mHeXRL0",,
"varshcs","1","1","2016","31","12","2020","Information Science/Studies","Bachelor of Engineering - BE","The National Institute Of Engineering, Mysore","https://www.linkedin.com/company/18452522/",,"https://media.licdn.com/dms/image/C4E0BAQGpFYtpNvOlqQ/company-logo_400_400/0/1631357528454?e=1717632000&v=beta&t=cXhCVqhhCkkppp9gMSCe8PnOg7jQ1TtGLPeRGxx4Jto",,
"vempati-hemapavani","1","1","2023","31","12","2024","Information Technology and Management","Master's degree","Illinois Institute of Technology",,,"https://media.licdn.com/dms/image/C4D0BAQEd6wnmQCCIHw/company-logo_400_400/0/1630559679535/illinois_institute_of_technology_logo?e=1717027200&v=beta&t=vKMqFiVQdUvS1Ig59W0Jj3eeHm1rnbmBQm1B4KvpbuI",,
"vempati-hemapavani","1","1","2014","31","1","2018","Computer Science","Bachelor of Technology - B.Tech","GITAM Deemed University",,,"https://media.licdn.com/dms/image/D560BAQFYwtEOQRZccA/company-logo_400_400/0/1693546945108/gitam_deemed_university_logo?e=1717027200&v=beta&t=ypwGTHJbfODTJXaW7RaahjZMUnaWL4JMY_TEk4g-y1M",,
"vempati-hemapavani","1","1","2012","31","1","2014","STATE Board","Senior Secondary Examination","Narayana junior college, Hyderabad",,,,"96%",
"vempati-hemapavani","1","1","2005","31","1","2012","CBSE Board","Secondary Examination","Sri Prakash Residential School",,,,"CGPA - 9.8/10",
"venkata-sai-deep-gaddipati-654826249","1","8","2023","31","5","2025","Information Technology and Management","Master's degree","Illinois Institute of Technology","https://www.linkedin.com/company/6328/",,"https://media.licdn.com/dms/image/C4D0BAQEd6wnmQCCIHw/company-logo_400_400/0/1630559679535/illinois_institute_of_technology_logo?e=1717632000&v=beta&t=9_wR1v9lt8WVPSux8a585YLwqzmyIqxwEYp0mHeXRL0",,
"venkata-sai-deep-gaddipati-654826249","1","8","2019","31","3","2023","Electronics and Communications Engineering","Bachelor of Technology - BTech","KL University","https://www.linkedin.com/company/1353501/","Skills: Pega · C (Programming Language) · Python (Programming Language) · Internet of Things (IoT)","https://media.licdn.com/dms/image/C4D0BAQEbnIc5Va_TFQ/company-logo_400_400/0/1631344808425?e=1717632000&v=beta&t=yL_ET5Y1DODvQZjLjsreCqkK61pjpRn6Y4tKqokkJhc",,
"venkata-sai-deep-gaddipati-654826249","1","6","2017","31","5","2019","MPC","Intermediate","Deeksha Junior College",,,,,
"venkata-sai-deep-gaddipati-654826249","1","6","2013","30","4","2017",,"High School","VRS Vignana Jyothi School",,,,,
"vinay-kasa-254452148","1","8","2023","31","7","2025","Information Technology and Management","Master of Science - MS","Illinois Institute of Technology","https://www.linkedin.com/company/6328/",,"https://media.licdn.com/dms/image/C4D0BAQEd6wnmQCCIHw/company-logo_400_400/0/1630559679535/illinois_institute_of_technology_logo?e=1717632000&v=beta&t=9_wR1v9lt8WVPSux8a585YLwqzmyIqxwEYp0mHeXRL0",,
"vinay-kasa-254452148","1","1","2017","31","12","2021","Electronics and communication ","Bachelor of Technology - BTech","SRM University","https://www.linkedin.com/company/879960/",,"https://media.licdn.com/dms/image/C510BAQHO4Qj_rvGxUA/company-logo_400_400/0/1630600315247?e=1717632000&v=beta&t=ukNaKZGVAezpcWdIQVIKD1aLVGE2eq9s4rCJ0mpoSKo",,
