public_identifier,starts_at_day,starts_at_month,starts_at_year,ends_at_day,ends_at_month,ends_at_year,field_of_study,degree_name,school,school_linkedin_profile_url,description,logo_url,grade,activities_and_societies
"angelwilson36","1","1","2018","31","5","2022","Higher Education/Higher Education Administration","Doctor of Education - EdD","The University of Texas at Austin","https://www.linkedin.com/company/3162/","Cooperative Superintendency Program","https://media.licdn.com/dms/image/C560BAQEREeDg1PACXA/company-logo_400_400/0/1630670868977/theuniversityoftexasataustin__logo?e=1713398400&v=beta&t=ZwJDOV---uLVAWfVxaSZX2ufzJUzGFZwhOC4D3GqkrM",,
"angelwilson36","1","1","2006","31","12","2008","Educational Leadership and Administration, General","Educational Administration","Prairie View A&M University","https://www.linkedin.com/company/23719/",,"https://media.licdn.com/dms/image/D560BAQE71wJLwrLj6Q/company-logo_400_400/0/1692049607026?e=1713398400&v=beta&t=2vmg0s-q-YTJ4PvMrky041FqkcYWbf2e1bRSQiH60cs",,
"angelwilson36","1","1","2002","31","12","2005","Elementary Education and Teaching","Bachelor of Science - BS","Prairie View A&M University","https://www.linkedin.com/company/23719/",,"https://media.licdn.com/dms/image/D560BAQE71wJLwrLj6Q/company-logo_400_400/0/1692049607026?e=1713398400&v=beta&t=2vmg0s-q-YTJ4PvMrky041FqkcYWbf2e1bRSQiH60cs",,
"angelwilson36",,,,,,,,"Bachelor of Science - BS","Prairie View A&M University","https://www.linkedin.com/company/23719/",,"https://media.licdn.com/dms/image/D560BAQE71wJLwrLj6Q/company-logo_400_400/0/1692049607026?e=1713398400&v=beta&t=2vmg0s-q-YTJ4PvMrky041FqkcYWbf2e1bRSQiH60cs",,
"aravind-ellandula-a23163206","1","8","2023","31","5","2025","Information Technology and Management - Data Analytics","Master's degree","Illinois Institute of Technology","https://www.linkedin.com/company/6328/",,"https://media.licdn.com/dms/image/C4D0BAQEd6wnmQCCIHw/company-logo_400_400/0/1630559679535/illinois_institute_of_technology_logo?e=1717632000&v=beta&t=9_wR1v9lt8WVPSux8a585YLwqzmyIqxwEYp0mHeXRL0",,
"aravind-ellandula-a23163206","1","1","2015","31","12","2020","Electrical, Electronics and Communications Engineering","Bachelor of Engineering - BE","MVSR Engineering College","https://www.linkedin.com/company/9165422/",,,,
"arshamg","1","1","2014","31","12","2018","Bioinformatics","Doctor of Philosophy - PhD","The Francis Crick Institute",,"Thesis: Single cell gene regulation in the epidermis

Research carried out jointly at The Francis Crick Institute and King's College London 

Under the supervision of Prof Nicholas Luscombe (The Francis Crick Institute) and Prof Fiona Watt (King's College London)",,,
"arshamg","1","1","2014","31","12","2018","Bioinformatics","Doctor of Philosophy - PhD","King's College London","https://www.linkedin.com/company/7198/",,"https://media.licdn.com/dms/image/C560BAQEsapaVYleavg/company-logo_400_400/0/1630592448557/kings_college_london_logo?e=1717027200&v=beta&t=p8mUfSSKgaaRnfLn1e2xGfXN7aWADHSBlxkoFnV4Qj8",,
"arshamg","1","1","2010","31","12","2014","Biomedical Engineering with Mechanical Engineering","MEng","Imperial College London","https://www.linkedin.com/company/5106/",,"https://media.licdn.com/dms/image/D4E0BAQFIhkSnjV0YNg/company-logo_400_400/0/1688215735026?e=1717027200&v=beta&t=fC8czr6pkg5Ytd9CbodkoRheLWqlSB4rS8s86l1xq80","First class",
"avani-sathe-0026a5203","1","9","2022","30","6","2024","Computer Science","Master of Science - MS","Oregon State University",,,"https://media.licdn.com/dms/image/C4E0BAQEtLpPkfugtXg/company-logo_400_400/0/1631354574889?e=1712793600&v=beta&t=lTKrKJoCU0eWWCbRXceeWwuNY_DALWpuHUdyEmdiCUQ",,
"avani-sathe-0026a5203","1","8","2016","31","5","2020","Computer Engineering","Bachelor's of Technology","MKSSS Cummins College of Engineering for Women",,,"https://media.licdn.com/dms/image/C4E0BAQEPCAoILbTJjQ/company-logo_400_400/0/1630611189727/mksss_cummins_college_of_engineering_for_women_logo?e=1712793600&v=beta&t=xN4IuJQH_kTWJEacifxrjvfbI77i5KByk8GT8hruueQ","A",
"ayutialgur","1","8","2023","31","8","2025","Cybersecurity","Master of Cybersecurity","Illinois Institute of Technology",,,"https://media.licdn.com/dms/image/C4D0BAQEd6wnmQCCIHw/company-logo_400_400/0/1556827665561?e=1706745600&v=beta&t=pGJ7PqqwXQDXw4BxgJwcgf8Tpm0lZJMUJQcBiE6VyyM",,
"ayutialgur","1","1","2016","31","1","2020","Electronics Engineering","Bachelor of Technology - BTech","DKTE'S Textile and Engineering Institute - An Empowered Autonomous Institute",,,"https://media.licdn.com/dms/image/C4D0BAQEhpfrLXKuG_Q/company-logo_400_400/0/1519896453484?e=1706745600&v=beta&t=gbpbI73CIsR_C8mtb7OAH2ft8a_-Elo8FrgKjpdwtuE",,
"barackobama","1","1","1988","31","1","1991","Law","Juris Doctor","Harvard University",,,"https://media.licdn.com/dms/image/C4E0BAQF5t62bcL0e9g/company-logo_400_400/0/1631318058235?e=1716422400&v=beta&t=DcVyCrZGtYJDC9VlUvB1y-rM7s8nXuIbIjHGEayBOFU",,
"barackobama","1","1","1981","31","1","1983","Political Science, concentration in International Relations","Bachelor of Arts","Columbia University",,,"https://media.licdn.com/dms/image/C4E0BAQFxn78nvVaTDA/company-logo_400_400/0/1630638452046/columbia_university_logo?e=1716422400&v=beta&t=aCfhuVo6mACEymmLJ3537HynNgGkyN-a32qs1MBZNlw",,
"barackobama","1","1","1979","31","1","1981","Political Science",,"Occidental College",,,"https://media.licdn.com/dms/image/C560BAQHQSEVHeClnUw/company-logo_400_400/0/1630663549272/occidental_college_logo?e=1716422400&v=beta&t=dfBlijFNJgSJbQ1UG0vCMHuVuJ8fflVuyiVj8SPXK-s",,
"berkgokova","1","10","2020","30","6","2026",,"Materials Science and Nano Engineering","Sabanci University","https://www.linkedin.com/company/17992/","Skills: Polymer Chemistry","https://media.licdn.com/dms/image/C4D0BAQFFoR3H1M6xrg/company-logo_400_400/0/1680177138716/sabanci_university_logo?e=1717632000&v=beta&t=ILrYFRvAW66ruEKWXUvQDPBF5k-MT1oL5MsgVXP9aiA",,
"berkgokova","1","10","2020","30","6","2026",,"Electronics Engineering (Double Major)","Sabanci University","https://www.linkedin.com/company/17992/","Skills: Electronics","https://media.licdn.com/dms/image/C4D0BAQFFoR3H1M6xrg/company-logo_400_400/0/1680177138716/sabanci_university_logo?e=1717632000&v=beta&t=ILrYFRvAW66ruEKWXUvQDPBF5k-MT1oL5MsgVXP9aiA",,
"berkgokova","1","1","2011","31","12","2020",,"Mathematics and Computer Science","BİLSEM Science and Arts Center",,"Took special education in mathematics and computer sciences through 6 years

Worked with BILSEM Robotic Team
Designed and programmed the robots to be used in national competitions.",,,
