public_identifier,starts_at_day,starts_at_month,starts_at_year,ends_at_day,ends_at_month,ends_at_year,title,cause,company,company_linkedin_profile_url,description,logo_url
"berniefloresca","1","1","2008","31","12","2010","President","Education","Stouthearted Men Foundation [SMF]","https://www.linkedin.com/company/37024011/","Saint Louis University [SLU] Laboratory High School Alumni organization
Non-profit foundation to provide, promote, organize or conduct civic and charitable programs, promote educational, youth and sports development in Baguio City, Philippines.
","https://media.licdn.com/dms/image/C4D0BAQE65yaFQVo3_A/company-logo_400_400/0/1631271242151/stouthearted_men_foundation_smf_logo?e=1717632000&v=beta&t=OQkJwpMw0E_n0sAwQ4T6eY1vcxgNenjO-3sUx9V4_Ms"
"brian-j-porter",,,,,,,"Chair of 2018 fundraising campaign",,"United Way Greater Toronto","https://www.linkedin.com/company/uwgreaterto/",,"https://media.licdn.com/dms/image/C560BAQGnLu1efjWmQA/company-logo_400_400/0/1630580090587/uwgreaterto_logo?e=1715817600&v=beta&t=WVJGIPAW81QSrv8ACPVKd5Z-1BdMh2PP7NALVpEFZ1o"
"brian-j-porter",,,,,,,"Chair Of The Board Of Trustees",,"University Health Network","https://www.linkedin.com/company/university-health-network/",,"https://media.licdn.com/dms/image/C560BAQGJlfcx4GQMMg/company-logo_400_400/0/1630620489090/university_health_network_logo?e=1715817600&v=beta&t=9n5ZoGPKXjZsmZ3vTQiM6qwAlKJYD2PiOHs_Q9BWoyI"
"brian-j-porter",,,,,,,"Chair of 2018 fundraising campaign",,"United Way Greater Toronto","https://www.linkedin.com/company/uwgreaterto/",,"https://media.licdn.com/dms/image/C560BAQGnLu1efjWmQA/company-logo_400_400/0/1630580090587/uwgreaterto_logo?e=1715817600&v=beta&t=WVJGIPAW81QSrv8ACPVKd5Z-1BdMh2PP7NALVpEFZ1o"
"brian-j-porter",,,,,,,"Chair Of The Board Of Trustees",,"University Health Network","https://www.linkedin.com/company/university-health-network/",,"https://media.licdn.com/dms/image/C560BAQGJlfcx4GQMMg/company-logo_400_400/0/1630620489090/university_health_network_logo?e=1715817600&v=beta&t=9n5ZoGPKXjZsmZ3vTQiM6qwAlKJYD2PiOHs_Q9BWoyI"
"calvinnobles",,,,,,,"President","Social_services","Navy Information Operations Command Georgia Officers' Association (2012-2013)",,,
"calvinnobles",,,,,,,"President","Social_services","Navy Information Operations Command Georgia Officers' Association (2012-2013)",,,
"ch-divyesh-b17a9a171",,,,,,,,,,,,
"ch-divyesh-b17a9a171",,,,,,,,,,,,
"chaitanya-bejjanki-55ba91171",,,,,,,,,,,,
"chaitanya-bejjanki-55ba91171",,,,,,,,,,,,
"chriskempczinski",,,,,,,,,,,,
"chriskempczinski",,,,,,,,,,,,
"cira-pozo-sanchez","1","1","2017","31","1","2022","Volunteer","Social Services","Fundación Banco de Alimentos de Madrid","https://www.linkedin.com/company/12672372/",,"https://media.licdn.com/dms/image/C4D0BAQGVEwYEqMNSkg/company-logo_400_400/0/1630474607861?e=1717632000&v=beta&t=_CjwDqX1SSIi48ly4htL4UdNhYYsLUO6VMCTH6XW_Hw"
"cira-pozo-sanchez","1","1","2017","31","1","2022","Volunteer","Social Services","Fundación Banco de Alimentos de Madrid","https://www.linkedin.com/company/12672372/",,"https://media.licdn.com/dms/image/C4D0BAQGVEwYEqMNSkg/company-logo_400_400/0/1630474607861?e=1717632000&v=beta&t=_CjwDqX1SSIi48ly4htL4UdNhYYsLUO6VMCTH6XW_Hw"
"deekshitha-gangam",,,,,,,,,,,,
"deekshitha-gangam",,,,,,,,,,,,
"diwakar-nayak-01355020a",,,,,,,,,,,,
"diwakar-nayak-01355020a",,,,,,,,,,,,
"entrust",,,,,,,,,,,,
"entrust",,,,,,,,,,,,
"fortnow",,,,,,,,,,,,
"fortnow",,,,,,,,,,,,
"gazcarater",,,,,,,,,,,,
"gazcarater",,,,,,,,,,,,
"gopal-raj-suresh-d","1","7","2020","30","6","2021","Academic Support Volunteer","Children","Make A Difference","https://www.linkedin.com/company/690247/","Physics tutor for class 9 students, where I designed and tailored effective lesson plans and helped them 
achieve good grades by conducting proper tests and giving constructive feedback.

Adaptably participated and hosted several events across the city through the organization, creating
awareness and making a significant impact on a large scale.","https://media.licdn.com/dms/image/C510BAQHSolnkv_Jrog/company-logo_400_400/0/1631417254927/make_a_difference_2_logo?e=1717632000&v=beta&t=xebTqwDjiKpnAwKzEiWY-aRSa3CmfXanSr0-Cnt8yXw"
"gopal-raj-suresh-d","1","7","2021","30","6","2022","Shelter Support Fellow","Children","Make A Difference","https://www.linkedin.com/company/690247/","In this fellowship role, I established proper connection between shelter homes and NGO, facilitating 
academic success for numerous children, enabling them to attain commendable grades in their examinations. 

Played an integral role in community projects, including fundraising initiatives and awareness campaigns, contributing to the holistic development of the children in shelter homes.

Sourcing, Recruiting, On-boarding, Volunteer Management and engagement and all city event mobilization. Collaborated closely with key stakeholders within the organization, demonstrating 
effective management skills.","https://media.licdn.com/dms/image/C510BAQHSolnkv_Jrog/company-logo_400_400/0/1631417254927/make_a_difference_2_logo?e=1717632000&v=beta&t=xebTqwDjiKpnAwKzEiWY-aRSa3CmfXanSr0-Cnt8yXw"
"gopal-raj-suresh-d","1","7","2020","30","6","2021","Academic Support Volunteer","Children","Make A Difference","https://www.linkedin.com/company/690247/","Physics tutor for class 9 students, where I designed and tailored effective lesson plans and helped them 
achieve good grades by conducting proper tests and giving constructive feedback.

Adaptably participated and hosted several events across the city through the organization, creating
awareness and making a significant impact on a large scale.","https://media.licdn.com/dms/image/C510BAQHSolnkv_Jrog/company-logo_400_400/0/1631417254927/make_a_difference_2_logo?e=1717632000&v=beta&t=xebTqwDjiKpnAwKzEiWY-aRSa3CmfXanSr0-Cnt8yXw"
"gopal-raj-suresh-d","1","7","2021","30","6","2022","Shelter Support Fellow","Children","Make A Difference","https://www.linkedin.com/company/690247/","In this fellowship role, I established proper connection between shelter homes and NGO, facilitating 
academic success for numerous children, enabling them to attain commendable grades in their examinations. 

Played an integral role in community projects, including fundraising initiatives and awareness campaigns, contributing to the holistic development of the children in shelter homes.

Sourcing, Recruiting, On-boarding, Volunteer Management and engagement and all city event mobilization. Collaborated closely with key stakeholders within the organization, demonstrating 
effective management skills.","https://media.licdn.com/dms/image/C510BAQHSolnkv_Jrog/company-logo_400_400/0/1631417254927/make_a_difference_2_logo?e=1717632000&v=beta&t=xebTqwDjiKpnAwKzEiWY-aRSa3CmfXanSr0-Cnt8yXw"
"harshal29","1","8","2016","31","5","2018","Member of sports committee",,"MIT WPU School of Polytechnic and skill development ","https://www.linkedin.com/company/73809696/",,"https://media.licdn.com/dms/image/C560BAQFLn6tWZZuWTQ/company-logo_400_400/0/1630671753276?e=1707955200&v=beta&t=Aw460oEROp3mQHkOCXQxhCF1CJ8703NN27Sd0qf-Fjo"
"harshal29",,,,,,,"Student Volunteer","Education","Bharatiya Chhatra Sansad","https://www.linkedin.com/company/4838206/",,"https://media.licdn.com/dms/image/C560BAQHrwYqaf2Hhfg/company-logo_400_400/0/1659150943593/bharatiya_chhatra_sansad_logo?e=1707955200&v=beta&t=m1VLKbP2Ic9GyE2jmeYlKZuX1JL--mLxdFWcFOMTzEk"
"harshal29","1","8","2016","31","5","2018","Member of sports committee",,"MIT WPU School of Polytechnic and skill development ","https://www.linkedin.com/company/73809696/",,"https://media.licdn.com/dms/image/C560BAQFLn6tWZZuWTQ/company-logo_400_400/0/1630671753276?e=1707955200&v=beta&t=Aw460oEROp3mQHkOCXQxhCF1CJ8703NN27Sd0qf-Fjo"
"harshal29",,,,,,,"Student Volunteer","Education","Bharatiya Chhatra Sansad","https://www.linkedin.com/company/4838206/",,"https://media.licdn.com/dms/image/C560BAQHrwYqaf2Hhfg/company-logo_400_400/0/1659150943593/bharatiya_chhatra_sansad_logo?e=1707955200&v=beta&t=m1VLKbP2Ic9GyE2jmeYlKZuX1JL--mLxdFWcFOMTzEk"
,,,,,,,,,,,,
,,,,,,,,,,,,
"interlee",,,,,,,,,,,,
"interlee",,,,,,,,,,,,
"ishanprabhune",,,,,,,"Supra",,"SAEINDIA","https://www.linkedin.com/company/saeindia/","Member of SAE Supra","https://media.licdn.com/dms/image/C560BAQFeCmTH0mQRAA/company-logo_400_400/0/1630636162036/saeindia_logo?e=1707955200&v=beta&t=0xXeXV44JM3Ygg3DwsBSeh5wlf1a6lk7P8PIfU9R72U"
"ishanprabhune","1","7","2015","30","6","2021","Member",,"Sinhgad Institutes","https://www.linkedin.com/company/sinhgad-institutes/","Mechanical Engineering Students Association (MESA)","https://media.licdn.com/dms/image/C510BAQGek_UPUd9pjg/company-logo_400_400/0/1631409575869/sinhgad_institutes_logo?e=1707955200&v=beta&t=C4UPCugm-5_c8ZbEthG9nBldV5Bl4KLC6q2HuW_GG-8"
"ishanprabhune",,,,,,,"Volunteer",,"Sinhgad College of Engineering","https://www.linkedin.com/school/sinhgad-college-of-engineering/","Sinhgad Karandak ","https://media.licdn.com/dms/image/C4E0BAQGvnYd1TSSKxA/company-logo_400_400/0/1630587015848/sinhgad_college_of_engineering_logo?e=1707955200&v=beta&t=DqE4J0AEf4XjHkBO3N4JyuGVU0To7Muj2w6Lx_YKcVY"
"ishanprabhune",,,,,,,"Supra",,"SAEINDIA","https://www.linkedin.com/company/saeindia/","Member of SAE Supra","https://media.licdn.com/dms/image/C560BAQFeCmTH0mQRAA/company-logo_400_400/0/1630636162036/saeindia_logo?e=1707955200&v=beta&t=0xXeXV44JM3Ygg3DwsBSeh5wlf1a6lk7P8PIfU9R72U"
"ishanprabhune","1","7","2015","30","6","2021","Member",,"Sinhgad Institutes","https://www.linkedin.com/company/sinhgad-institutes/","Mechanical Engineering Students Association (MESA)","https://media.licdn.com/dms/image/C510BAQGek_UPUd9pjg/company-logo_400_400/0/1631409575869/sinhgad_institutes_logo?e=1707955200&v=beta&t=C4UPCugm-5_c8ZbEthG9nBldV5Bl4KLC6q2HuW_GG-8"
"ishanprabhune",,,,,,,"Volunteer",,"Sinhgad College of Engineering","https://www.linkedin.com/school/sinhgad-college-of-engineering/","Sinhgad Karandak ","https://media.licdn.com/dms/image/C4E0BAQGvnYd1TSSKxA/company-logo_400_400/0/1630587015848/sinhgad_college_of_engineering_logo?e=1707955200&v=beta&t=DqE4J0AEf4XjHkBO3N4JyuGVU0To7Muj2w6Lx_YKcVY"
"jakka-gunith",,,,,,,,,,,,
"jakka-gunith",,,,,,,,,,,,
"jamiedimon",,,,,,,,,,,,
"jamiedimon",,,,,,,,,,,,
"javier-moreno-frutos",,,,,,,,,,,,
"javier-moreno-frutos",,,,,,,,,,,,
"joel-miranda-4159801a1",,,,,,,,,,,,
"joel-miranda-4159801a1",,,,,,,,,,,,
"mauricedawson","1","1","2022",,,,"Volunteer","SCIENCE_AND_TECHNOLOGY","Winrock International","https://www.linkedin.com/company/winrock-international/","Serving as a volunteer champion for the Farmer to Farmer (F2F) Diversity Initiative.","https://media.licdn.com/dms/image/C4D0BAQHtUWTgA-fiEw/company-logo_400_400/0/1637271670388?e=1692230400&v=beta&t=QRA1Fxh1iN_AojLh492jBDrzIx4RqZ6gFYCiJjg4nTg"
